Investors,InvestorLink,Latest,Seed,Growth,Legal,GRC,RiskTech,FinTech,WealthTech,Participation
Jeremy Baksht,https://www.google.com/search?q=Jeremy+Baksht+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,0,0,3,0,0,0,57000000
JMS Capital-Everglen,https://www.google.com/search?q=JMS+Capital-Everglen+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,10,0,0,0,10,0,19927537050
HNI,https://www.google.com/search?q=HNI+AND+Crunchbase+OR+LinkedIn,Jul 2021,9,0,0,9,0,0,0,105388254
Ripple,https://www.google.com/search?q=Ripple+AND+Crunchbase+OR+LinkedIn,Jul 2021,1,28,0,9,0,20,0,7014400000
David Ronick,https://www.google.com/search?q=David+Ronick+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,5,0,0,5,0,0,78000000
AUC Angels,https://www.google.com/search?q=AUC+Angels+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,0,0,0,0,3,0,56000
Atinum Partners,https://www.google.com/search?q=Atinum+Partners+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,34,0,0,0,34,0,11322000000
MAS,https://www.google.com/search?q=MAS+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,4,0,0,0,4,0,78800000
TA Telecom,https://www.google.com/search?q=TA+Telecom+AND+Crunchbase+OR+LinkedIn,Jul 2021,1,0,0,0,0,1,0,0
Tej Lalvani,https://www.google.com/search?q=Tej+Lalvani+AND+Crunchbase+OR+LinkedIn,Jul 2021,9,0,0,9,0,0,0,105388254
Evolem Start,https://www.google.com/search?q=Evolem+Start+AND+Crunchbase+OR+LinkedIn,Jul 2021,8,14,0,0,18,4,0,1467106100
Yash Amit Nanavati,https://www.google.com/search?q=Yash+Amit+Nanavati+AND+Crunchbase+OR+LinkedIn,Jul 2021,4,0,0,0,0,4,0,57563752
Revel Ventures,https://www.crunchbase.com/organization/revel-ventures,Jul 2021,15,0,0,10,0,0,0,220000000
Bamboo Capital Partners,https://www.google.com/search?q=Bamboo+Capital+Partners+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,10,0,0,0,10,0,1194000000
Jared Leto,https://www.google.com/search?q=Jared+Leto+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,20,0,0,0,16,4,5285600000
Inflection Capital,https://www.crunchbase.com/organization/inflection-capital,Jul 2021,5,0,0,0,0,0,0,45000000
Harry Redknapp,https://www.google.com/search?q=Harry+Redknapp+AND+Crunchbase+OR+LinkedIn,Jul 2021,9,0,0,9,0,0,0,105388254
Grow Cafe Investments,https://www.crunchbase.com/organization/grow-cafe-investments,Jul 2021,3,0,0,3,0,0,0,5794503
Armilar Venture Partners,https://www.google.com/search?q=Armilar+Venture+Partners+AND+Crunchbase+OR+LinkedIn,Jul 2021,5,31,0,5,0,7,0,21146676773
Naples Technology Ventures,https://www.google.com/search?q=Naples+Technology+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,14,0,0,0,5,0,772500000
Tinie Tempah,https://www.google.com/search?q=Tinie+Tempah+AND+Crunchbase+OR+LinkedIn,Jul 2021,9,0,0,9,0,0,0,105388254
